date, pm25
2025/8/1, 54
2025/8/3, 33
2025/8/4, 79
2025/8/5, 74
2025/8/6, 82
2025/8/7, 102
2025/8/8, 121
2025/8/9, 107
2025/8/10, 95
2025/8/11, 72
2025/8/12, 84
2025/8/13, 96
2025/8/14, 55
2025/8/15, 72
2025/8/16, 87
2025/8/17, 104
2025/8/18, 89
2025/8/19, 56
2025/8/20, 58
2025/8/21, 68
2025/8/22, 113
2025/8/23, 127
2025/7/1, 88
2025/7/2, 73
2025/7/3, 71
2025/7/4, 34
2025/7/5, 87
2025/7/6, 73
2025/7/7, 67
2025/7/8, 72
2025/7/9, 57
2025/7/10, 75
2025/7/11, 89
2025/7/12, 101
2025/7/13, 76
2025/7/14, 59
2025/7/15, 54
2025/7/16, 42
2025/7/17, 77
2025/7/18, 79
2025/7/19, 71
2025/7/20, 71
2025/7/21, 78
2025/7/22, 80
2025/7/23, 109
2025/7/24, 92
2025/7/25, 64
2025/7/26, 96
2025/7/27, 92
2025/7/28, 53
2025/7/29, 28
2025/7/30, 35
2025/7/31, 82
2025/4/1, 42
2025/4/2, 47
2025/4/3, 36
2025/4/4, 25
2025/4/5, 51
2025/4/6, 63
2025/4/7, 40
2025/4/8, 52
2025/4/9, 70
2025/4/10, 87
2025/4/11, 65
2025/4/12, 54
2025/4/13, 74
2025/4/14, 69
2025/4/15, 71
2025/4/16, 74
2025/4/17, 66
2025/4/18, 106
2025/4/19, 68
2025/4/20, 46
2025/4/21, 27
2025/4/22, 31
2025/4/23, 57
2025/4/24, 73
2025/4/25, 123
2025/4/26, 54
2025/4/27, 47
2025/4/28, 48
2025/4/29, 41
2025/4/30, 78
2025/5/1, 73
2025/5/2, 73
2025/5/3, 71
2025/5/4, 70
2025/5/5, 89
2025/5/6, 92
2025/5/7, 64
2025/5/8, 62
2025/5/9, 57
2025/5/10, 51
2025/5/11, 57
2025/5/12, 51
2025/5/13, 48
2025/5/14, 55
2025/5/15, 51
2025/5/16, 53
2025/5/17, 46
2025/5/18, 54
2025/5/19, 59
2025/5/20, 53
2025/5/21, 67
2025/5/22, 101
2025/5/23, 62
2025/5/24, 51
2025/5/25, 53
2025/5/26, 49
2025/5/27, 84
2025/5/28, 79
2025/5/29, 54
2025/5/30, 65
2025/5/31, 98
2025/6/1, 59
2025/6/2, 83
2025/6/3, 97
2025/6/4, 75
2025/6/5, 45
2025/6/6, 69
2025/6/7, 41
2025/6/8, 56
2025/6/9, 56
2025/6/10, 68
2025/6/11, 60
2025/6/12, 87
2025/6/13, 92
2025/6/14, 62
2025/6/15, 74
2025/6/16, 73
2025/6/17, 63
2025/6/18, 60
2025/6/19, 71
2025/6/20, 126
2025/6/21, 107
2025/6/22, 111
2025/6/23, 76
2025/6/24, 64
2025/6/25, 63
2025/6/26, 49
2025/6/27, 78
2025/6/28, 60
2025/6/29, 76
2025/6/30, 101
2025/1/1, 84
2025/1/2, 56
2025/1/3, 42
2025/1/4, 40
2025/1/5, 39
2025/1/6, 68
2025/1/7, 67
2025/1/8, 64
2025/1/9, 69
2025/1/10, 45
2025/1/11, 38
2025/1/12, 40
2025/1/13, 46
2025/1/14, 49
2025/1/15, 51
2025/1/16, 73
2025/1/17, 67
2025/1/18, 62
2025/1/19, 42
2025/1/20, 32
2025/1/21, 50
2025/1/22, 50
2025/1/23, 44
2025/1/24, 46
2025/1/25, 43
2025/1/26, 35
2025/1/27, 30
2025/1/28, 46
2025/1/29, 40
2025/1/30, 5
2025/1/31, 35
2025/2/1, 45
2025/2/2, 44
2025/2/3, 56
2025/2/4, 60
2025/2/5, 48
2025/2/6, 33
2025/2/7, 61
2025/2/8, 79
2025/2/9, 43
2025/2/10, 37
2025/2/11, 49
2025/2/12, 59
2025/2/13, 57
2025/2/14, 80
2025/2/15, 75
2025/2/16, 77
2025/2/17, 78
2025/2/18, 60
2025/2/19, 77
2025/2/20, 51
2025/2/21, 58
2025/2/22, 54
2025/2/23, 77
2025/2/24, 62
2025/2/25, 52
2025/2/26, 71
2025/2/27, 66
2025/2/28, 69
2025/3/2, 65
2025/3/3, 77
2025/3/4, 65
2025/3/5, 72
2025/3/6, 83
2025/3/7, 45
2025/3/8, 73
2025/3/9, 66
2025/3/10, 57
2025/3/11, 88
2025/3/12, 72
2025/3/13, 78
2025/3/14, 96
2025/3/15, 80
2025/3/16, 65
2025/3/17, 69
2025/3/18, 56
2025/3/19, 45
2025/3/20, 38
2025/3/21, 54
2025/3/22, 50
2025/3/23, 51
2025/3/24, 70
2025/3/25, 89
2025/3/26, 94
2025/3/27, 69
2025/3/28, 79
2025/3/29, 30
2025/3/30, 39
2025/3/31, 44
2024/10/1, 73
2024/10/2, 83
2024/10/3, 99
2024/10/4, 100
2024/10/5, 92
2024/10/6, 92
2024/10/7, 78
2024/10/8, 74
2024/10/9, 89
2024/10/10, 84
2024/10/11, 79
2024/10/12, 83
2024/10/13, 88
2024/10/14, 95
2024/10/15, 89
2024/10/16, 69
2024/10/17, 57
2024/10/18, 64
2024/10/19, 85
2024/10/20, 84
2024/10/21, 54
2024/10/22, 53
2024/10/23, 41
2024/10/24, 66
2024/10/25, 61
2024/10/26, 53
2024/10/27, 61
2024/10/28, 72
2024/10/29, 63
2024/10/30, 60
2024/10/31, 92
2024/11/1, 93
2024/11/2, 84
2024/11/3, 74
2024/11/4, 78
2024/11/5, 79
2024/11/6, 72
2024/11/7, 81
2024/11/8, 76
2024/11/9, 59
2024/11/10, 86
2024/11/11, 97
2024/11/12, 115
2024/11/13, 144
2024/11/14, 129
2024/11/15, 97
2024/11/16, 110
2024/11/17, 91
2024/11/18, 63
2024/11/19, 73
2024/11/20, 62
2024/11/21, 71
2024/11/22, 102
2024/11/23, 119
2024/11/24, 121
2024/11/25, 134
2024/11/26, 118
2024/11/27, 53
2024/11/28, 45
2024/11/29, 28
2024/11/30, 32
2024/12/1, 24
2024/12/2, 50
2024/12/3, 49
2024/12/4, 64
2024/12/5, 62
2024/12/6, 60
2024/12/7, 61
2024/12/8, 67
2024/12/9, 35
2024/12/17, 73
2024/12/18, 31
2024/12/19, 43
2024/12/20, 50
2024/12/21, 59
2024/12/22, 55
2024/12/23, 46
2024/12/24, 52
2024/12/25, 53
2024/12/26, 48
2024/12/27, 36
2024/12/28, 29
2024/12/29, 26
2024/7/1, 82
2024/7/2, 80
2024/7/3, 67
2024/7/4, 69
2024/7/5, 84
2024/7/6, 90
2024/7/7, 105
2024/7/8, 93
2024/7/9, 87
2024/7/10, 82
2024/7/11, 55
2024/7/12, 86
2024/7/13, 82
2024/7/14, 62
2024/7/15, 79
2024/7/16, 75
2024/7/17, 110
2024/7/18, 103
2024/7/19, 96
2024/7/20, 80
2024/7/21, 70
2024/7/22, 96
2024/7/23, 97
2024/7/24, 79
2024/7/25, 84
2024/7/26, 107
2024/7/27, 102
2024/7/28, 72
2024/7/29, 79
2024/7/30, 57
2024/7/31, 68
2024/8/1, 92
2024/8/2, 79
2024/8/3, 91
2024/8/4, 64
2024/8/5, 83
2024/8/6, 92
2024/8/7, 84
2024/8/8, 80
2024/8/9, 70
2024/8/10, 89
2024/8/11, 61
2024/8/12, 85
2024/8/13, 84
2024/8/14, 85
2024/8/15, 73
2024/8/16, 85
2024/8/17, 107
2024/8/18, 95
2024/8/19, 76
2024/8/20, 90
2024/8/21, 94
2024/8/22, 90
2024/8/23, 118
2024/8/24, 55
2024/8/25, 75
2024/8/26, 70
2024/8/27, 67
2024/8/28, 86
2024/8/29, 62
2024/8/30, 72
2024/8/31, 76
2024/9/1, 86
2024/9/2, 74
2024/9/3, 73
2024/9/4, 81
2024/9/5, 66
2024/9/6, 67
2024/9/7, 69
2024/9/8, 69
2024/9/9, 103
2024/9/10, 100
2024/9/11, 87
2024/9/12, 75
2024/9/13, 68
2024/9/14, 75
2024/9/15, 64
2024/9/16, 81
2024/9/17, 63
2024/9/18, 70
2024/9/19, 69
2024/9/20, 95
2024/9/21, 110
2024/9/22, 124
2024/9/23, 138
2024/9/24, 125
2024/9/25, 91
2024/9/26, 120
2024/9/27, 121
2024/9/28, 111
2024/9/29, 86
2024/9/30, 90
2024/4/1, 62
2024/4/2, 75
2024/4/3, 69
2024/4/4, 57
2024/4/5, 73
2024/4/6, 66
2024/4/7, 78
2024/4/8, 74
2024/4/9, 64
2024/4/10, 73
2024/4/11, 70
2024/4/12, 58
2024/4/13, 46
2024/4/14, 67
2024/4/15, 80
2024/4/16, 112
2024/4/18, 62
2024/4/19, 67
2024/4/20, 94
2024/4/21, 103
2024/4/22, 70
2024/4/23, 88
2024/4/24, 83
2024/4/25, 64
2024/4/26, 57
2024/4/27, 66
2024/4/28, 80
2024/4/29, 85
2024/4/30, 87
2024/5/2, 66
2024/5/3, 79
2024/5/4, 52
2024/5/5, 70
2024/5/6, 62
2024/5/7, 83
2024/5/8, 104
2024/5/9, 116
2024/5/10, 87
2024/5/11, 108
2024/5/12, 96
2024/5/13, 104
2024/5/14, 123
2024/5/21, 95
2024/5/22, 123
2024/5/23, 132
2024/5/24, 104
2024/5/25, 96
2024/5/26, 73
2024/5/27, 101
2024/5/28, 83
2024/5/29, 77
2024/5/30, 100
2024/5/31, 87
2024/6/1, 101
2024/6/3, 45
2024/6/4, 83
2024/6/5, 65
2024/6/6, 72
2024/6/7, 85
2024/6/8, 65
2024/6/9, 75
2024/6/10, 82
2024/6/11, 94
2024/6/12, 75
2024/6/13, 102
2024/6/14, 107
2024/6/15, 118
2024/6/16, 87
2024/6/17, 95
2024/6/18, 83
2024/6/19, 89
2024/6/20, 90
2024/6/21, 80
2024/6/22, 81
2024/6/23, 78
2024/6/24, 62
2024/6/25, 78
2024/6/26, 103
2024/6/27, 95
2024/6/28, 103
2024/6/29, 87
2024/6/30, 57
2024/1/1, 79
2024/1/2, 97
2024/1/3, 98
2024/1/4, 83
2024/1/5, 85
2024/1/6, 81
2024/1/7, 67
2024/1/8, 87
2024/1/9, 84
2024/1/10, 82
2024/1/11, 76
2024/1/12, 59
2024/1/13, 58
2024/1/14, 62
2024/1/15, 78
2024/1/16, 75
2024/1/17, 101
2024/1/18, 61
2024/1/19, 33
2024/1/20, 26
2024/1/21, 49
2024/1/22, 51
2024/1/23, 48
2024/1/24, 75
2024/1/25, 88
2024/1/26, 87
2024/1/27, 97
2024/1/28, 76
2024/1/29, 71
2024/1/30, 69
2024/1/31, 74
2024/2/1, 100
2024/2/2, 69
2024/2/5, 57
2024/2/6, 60
2024/2/7, 82
2024/2/8, 80
2024/2/9, 56
2024/2/10, 56
2024/2/11, 50
2024/2/12, 63
2024/2/13, 63
2024/2/14, 101
2024/2/15, 110
2024/2/16, 85
2024/2/17, 74
2024/2/18, 53
2024/2/19, 72
2024/2/20, 108
2024/2/21, 80
2024/2/22, 99
2024/2/23, 104
2024/2/24, 88
2024/2/25, 65
2024/2/26, 51
2024/2/27, 57
2024/2/28, 73
2024/2/29, 95
2024/3/1, 79
2024/3/2, 93
2024/3/3, 79
2024/3/4, 68
2024/3/5, 69
2024/3/6, 101
2024/3/7, 112
2024/3/8, 94
2024/3/9, 66
2024/3/10, 44
2024/3/11, 77
2024/3/12, 58
2024/3/13, 57
2024/3/14, 54
2024/3/15, 59
2024/3/16, 52
2024/3/17, 58
2024/3/18, 53
2024/3/19, 74
2024/3/21, 92
2024/3/22, 89
2024/3/23, 56
2024/3/24, 70
2024/3/25, 55
2024/3/26, 74
2024/3/27, 63
2024/3/28, 73
2024/3/29, 69
2024/3/30, 62
2024/3/31, 51
2023/10/1, 76
2023/10/2, 77
2023/10/3, 106
2023/10/4, 106
2023/10/5, 120
2023/10/6, 104
2023/10/7, 114
2023/10/8, 108
2023/10/9, 127
2023/10/10, 135
2023/10/11, 121
2023/10/12, 110
2023/10/13, 101
2023/10/14, 82
2023/10/15, 104
2023/10/16, 82
2023/10/17, 95
2023/10/18, 124
2023/10/19, 116
2023/10/20, 122
2023/10/21, 119
2023/10/22, 144
2023/10/23, 129
2023/10/24, 110
2023/10/25, 125
2023/10/26, 106
2023/10/27, 85
2023/10/28, 99
2023/10/29, 111
2023/10/30, 83
2023/10/31, 106
2023/11/1, 92
2023/11/2, 113
2023/11/3, 113
2023/11/4, 80
2023/11/5, 100
2023/11/6, 92
2023/11/7, 94
2023/11/8, 101
2023/11/9, 86
2023/11/10, 100
2023/11/11, 103
2023/11/12, 86
2023/11/13, 88
2023/11/14, 88
2023/11/15, 74
2023/11/16, 59
2023/11/17, 54
2023/11/18, 57
2023/11/19, 47
2023/11/20, 48
2023/11/21, 67
2023/11/22, 66
2023/11/23, 74
2023/11/24, 90
2023/11/25, 97
2023/11/26, 64
2023/11/27, 75
2023/11/28, 61
2023/11/29, 67
2023/11/30, 72
2023/12/1, 75
2023/12/2, 42
2023/12/3, 44
2023/12/4, 53
2023/12/5, 55
2023/12/6, 69
2023/12/7, 65
2023/12/8, 68
2023/12/9, 57
2023/12/10, 58
2023/12/11, 55
2023/12/12, 65
2023/12/13, 74
2023/12/14, 73
2023/12/15, 68
2023/12/16, 65
2023/12/17, 65
2023/12/18, 56
2023/12/19, 60
2023/12/20, 60
2023/12/21, 69
2023/12/22, 84
2023/12/23, 71
2023/12/24, 69
2023/12/25, 92
2023/12/26, 67
2023/12/27, 62
2023/12/28, 83
2023/12/29, 67
2023/12/30, 59
2023/12/31, 52
2023/7/5, 48
2023/7/6, 52
2023/7/7, 23
2023/7/8, 49
2023/7/9, 59
2023/7/10, 60
2023/7/11, 74
2023/7/12, 58
2023/7/13, 43
2023/7/14, 41
2023/7/15, 60
2023/7/16, 60
2023/7/17, 65
2023/7/18, 88
2023/7/19, 70
2023/7/20, 51
2023/7/21, 44
2023/7/22, 77
2023/7/23, 64
2023/7/24, 122
2023/7/25, 115
2023/7/26, 56
2023/7/27, 75
2023/7/28, 77
2023/7/29, 82
2023/7/30, 70
2023/7/31, 88
2023/8/1, 92
2023/8/2, 93
2023/8/3, 119
2023/8/4, 70
2023/8/5, 103
2023/8/6, 63
2023/8/7, 88
2023/8/8, 110
2023/8/9, 115
2023/8/10, 85
2023/8/11, 65
2023/8/12, 84
2023/8/13, 97
2023/8/14, 95
2023/8/15, 79
2023/8/16, 53
2023/8/17, 49
2023/8/18, 74
2023/8/19, 100
2023/8/20, 83
2023/8/21, 99
2023/8/22, 90
2023/8/23, 68
2023/8/24, 98
2023/8/25, 91
2023/8/26, 74
2023/8/27, 92
2023/8/28, 90
2023/8/29, 105
2023/8/30, 101
2023/8/31, 109
2023/9/1, 102
2023/9/2, 86
2023/9/3, 81
2023/9/4, 90
2023/9/5, 121
2023/9/6, 78
2023/9/7, 68
2023/9/8, 92
2023/9/9, 87
2023/9/10, 102
2023/9/11, 81
2023/9/12, 71
2023/9/13, 90
2023/9/14, 78
2023/9/15, 107
2023/9/16, 97
2023/9/17, 70
2023/9/18, 64
2023/9/19, 76
2023/9/20, 78
2023/9/21, 71
2023/9/22, 57
2023/9/23, 92
2023/9/24, 88
2023/9/25, 79
2023/9/26, 78
2023/9/27, 93
2023/9/28, 110
2023/9/29, 101
2023/9/30, 108
2023/4/1, 54
2023/4/2, 53
2023/4/3, 42
2023/4/4, 42
2023/4/5, 56
2023/4/6, 49
2023/4/7, 45
2023/4/8, 50
2023/4/9, 48
2023/4/10, 50
2023/4/11, 48
2023/4/12, 52
2023/4/13, 62
2023/4/14, 44
2023/4/15, 47
2023/4/16, 77
2023/4/17, 86
2023/4/18, 74
2023/4/19, 53
2023/4/20, 21
2023/4/21, 73
2023/4/22, 75
2023/4/23, 61
2023/4/24, 68
2023/4/25, 58
2023/4/26, 70
2023/4/27, 62
2023/4/28, 67
2023/4/30, 40
2023/5/1, 48
2023/5/2, 58
2023/5/3, 73
2023/5/4, 57
2023/5/5, 73
2023/5/6, 67
2023/5/7, 59
2023/5/8, 68
2023/5/9, 88
2023/5/10, 72
2023/5/11, 59
2023/5/12, 68
2023/5/13, 49
2023/5/14, 58
2023/5/15, 63
2023/5/16, 70
2023/5/17, 74
2023/5/18, 81
2023/5/19, 79
2023/5/20, 85
2023/5/21, 83
2023/5/22, 78
2023/5/23, 97
2023/5/24, 114
2023/5/25, 80
2023/5/26, 116
2023/5/27, 96
2023/5/28, 80
2023/5/29, 83
2023/5/30, 97
2023/5/31, 111
2023/6/1, 108
2023/6/2, 72
2023/6/3, 71
2023/6/4, 78
2023/6/5, 69
2023/6/6, 70
2023/6/7, 52
2023/6/8, 73
2023/6/9, 55
2023/6/10, 82
2023/6/11, 81
2023/6/12, 72
2023/6/13, 84
2023/6/14, 84
2023/6/15, 93
2023/6/16, 108
2023/6/17, 119
2023/6/18, 106
2023/6/19, 114
2023/6/20, 88
2023/6/21, 55
2023/6/22, 83
